GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	S_250754_Probe_4A_50_S24	INDIGO.NoDrug.Control
efp	Rv2534c	elongation factor P	low_iron:9%	0.2429	0.991883877180357	2026.48	1960	1573	1477	2960	2334	465.51	341.82
papA4	Rv1528c	polyketide synthase associated protein PapA	hypoxia_late:27%; ctl_stationary:13%	0.2644	0.996205845415815	2030.97	2080	1461	1487	2999	2321	28.52	19.54
fadB3	Rv1715	3-hydroxybutyryl-CoA dehydrogenase FadB	hypoxia_late:31%; PBS_RIF_DDmtb:10%	0.2827	0.981552985960007	2083.13	2243	1932	2107	2293	1858	21.6	18.28
metS	Rv1007c	methionine--tRNA ligase	zinc_limitation:8%	0.2839	0.998036588565641	2014.89	2859	2514	2578	1250	1204	110.74	118.43
argS	Rv1292	arginine--tRNA ligase	hypoxia_rar:10%	0.2682	0.997697032274282	2018.93	2904	2611	2518	1227	1188	95.07	104.4
Rv0854	Rv0854	hypothetical protein	human_sputum:14%; ctl_exponential:12%	0.1221	0.834510076759254	2098.32	1724	1571	1447	3350	2700	109.82	79.84
eccE5	Rv1797	ESX-5 type VII secretion system protein EccE	acidic:8%	0.2438	0.990953872664167	2037.61	2117	2367	2356	1848	1561	475.02	474.18
Rv0201c	Rv0201c	hypothetical protein	butyrate_plus_glucose:9%	0.1732	0.923593541049452	2083.56	1821	1577	1566	3142	2522	270.12	199.66
msrA	Rv0137c	peptide methionine sulfoxide reductase MsrA	hypoxia_fatty_acids:9%	0.2429	0.989828740491306	2041.83	1965	1548	1535	2976	2355	185.03	134.35
Rv2515c	Rv2515c	hypothetical protein	ctl_stationary:17%; PBS_RIF_DDmtb:15%; hypoxia_fatty_acids:12%; hypoxia_late:11%	0.2526	0.976230923934574	2077.98	2251	2333	2242	1994	1614	17.98	17.38
mce1C	Rv0171	Mce family protein Mce1C	butyrate_plus_glucose:14%; acidic_tyloxopol:11%	0.3165	0.99869801448219	2014.45	2906	2463	2519	1210	1289	392.49	410.46
gnd2	Rv1122	6-phosphogluconate dehydrogenase	hypoxia_late:12%	0.2179	0.943766269750025	2110.25	2241	2215	2221	2210	1693	151.73	143.59
pknG	Rv0410c	serine/threonine-protein kinase PknG	microaerophilic:10%	0.3094	0.998568079626955	2015	3265	2833	2910	904	904	130.88	159.2
fadD31	Rv1925	fatty-acid--CoA ligase FadD31	tyloxopol:10%	0.3595	0.99928739355358	2016.25	3104	2584	2609	989	1256	877.77	958.83
Rv1671	Rv1671	membrane protein	hypoxia_late:18%; ctl_stationary:11%	0.1908	0.924766367136784	2113.29	1881	1408	1624	3336	2591	34.74	23.07
erm(37)	Rv1988	23S rRNA methyltransferase	PBS_RIF_DDmtb:10%	0.2241	0.982802692064675	2056.52	1936	1555	1573	3009	2381	177.59	130.27
Rv2642	Rv2642	ArsR family transcriptional regulator	hypoxia_fatty_acids:56%; butyrate:15%	0.1291	0.875575204113695	2086.56	1729	1460	1383	3496	2734	58.88	40.4
MT0159	MT0159	hypothetical protein	PBS_RIF_DDmtb:20%; hypoxia_late:17%; ctl_stationary:12%	0.0872	0.786341816022933	2114.87	1219	1297	1507	3645	3578	42.69	27.47
Rv2719c	Rv2719c	membrane protein	zinc_limitation:26%; hypoxia_late:16%	0.2084	0.963525317426567	2077.23	1924	1540	1559	3103	2459	76.7	54.97
ribC	Rv1412	riboflavin synthase	hypoxia_late:11%	0.3311	0.999940539149522	1962.87	2152	1506	1409	2766	2134	87.11	61.41
MT2113	MT2113	hypothetical protein	hypoxia_fatty_acids:17%	0.2566	0.996644229555143	2034.49	2019	1570	1560	2884	2282	378.57	278.45
ppa	Rv3628	inorganic pyrophosphatase	tyloxopol:12%	0.1501	0.901770377131198	2098.37	1807	1594	1553	3187	2575	150.99	112
lpqN	Rv0583c	lipoprotein LpqN	ctl_exponential:12%; acidic:12%	0.3011	0.998658290343773	2021.07	2246	1633	1666	2629	2015	208.71	159.35
engA	Rv1713	GTPase Der	high_iron:10%	0.2638	0.996509854607361	2055.24	2704	2450	2434	1534	1345	123.55	127.7
MT2736.1	MT2736.1	hypothetical protein	ctl_stationary:22%; acidic_tyloxopol:14%; hypoxia_fatty_acids:12%; PBS_RIF_DDmtb:11%	0.0163	0.651693297431609	2137.21	1075	1476	1635	3457	3686	64.84	45.64
Rv0265c	Rv0265c	iron ABC transporter substrate-binding lipoprotein	hypoxia_late:11%	0.2165	0.960406404172471	2117.75	2266	2200	2096	2298	1753	92.67	85.96
Rv0196	Rv0196	HTH-type transcriptional regulator	hypoxia_late:19%; ctl_stationary:11%; human_sputum:10%; INDIGO_exponential:10%	0.3211	0.99995081375421	1971.27	2126	1499	1393	2821	2184	77.4	54.15
cyp135A1	Rv0327c	cytochrome P450 Cyp135A1	hypoxia_fatty_acids:39%; hypoxia_late:16%	0.2527	0.990874721066565	2069.31	2227	2369	2419	1866	1537	16.67	16.81
Rv3177	Rv3177	peroxidase	hypoxia_late:16%; butyrate:12%; ctl_stationary:11%	0.2732	0.992260156586416	2089.94	2271	1923	1888	2460	1938	24.21	20.03
Rv1410c	Rv1410c	aminoglycosides/tetracycline-transport integral membrane protein	zinc_limitation:10%	0.3062	0.998521322082844	2040.22	2916	2503	2483	1222	1371	626.06	659.15
Rv0295c	Rv0295c	hypothetical protein	tyloxopol:10%	0.2674	0.992907836122697	2083.22	2279	1891	1860	2511	1914	198.51	164.22
Rv3066	Rv3066	DeoR family transcriptional regulator	hypoxia_late:16%; PBS_RIF_DDmtb:11%	0.3296	0.999935834205641	1983.57	2155	1500	1511	2754	2133	103.5	73.36
Rv3218	Rv3218	hypothetical protein	hypoxia_late:17%	0.2293	0.967119373157772	2120.99	2257	2143	2135	2326	1767	73.37	66.8
amiA2	Rv2363	amidase	hypoxia_late:19%; PBS_RIF_DDmtb:13%	0.2581	0.997474713320867	2044.13	2695	2466	2545	1446	1297	57.66	60.97
rpsG	Rv0683	30S ribosomal protein S7	human_sputum:9%	0.0658	0.793497991721528	2118.77	1561	1702	1580	3379	2653	1144.6	884.25
Rv1558	Rv1558	hypothetical protein	zinc_limitation:12%	0.06	0.783830838659264	2123.7	1514	1651	1584	3437	2751	380.88	289.75
Rv1804c	Rv1804c	hypothetical protein	hypoxia_fatty_acids:24%; PBS_RIF_DDmtb:22%; ctl_stationary:16%	0.1126	0.770136256878316	2171.42	1962	1929	1978	2156	2902	21.96	18.43
Rv3300c	Rv3300c	hypothetical protein	hypoxia_late:13%	0.233	0.978247208945581	2109.41	2275	2087	2002	2403	1806	79.22	70.58
Rv1866	Rv1866	hypothetical protein	hypoxia_late:24%; PBS_RIF_DDmtb:10%	0.241	0.996486754541329	2054.22	2992	2872	2940	1005	1050	18.3	23.27
nusB	Rv2533c	N utilization substance protein B	hypoxia_rar:8%	0.0794	0.80176001525192	2136.96	1634	1675	1597	3347	2701	325.35	249.51
vapC5	Rv0627	ribonuclease VapC5	PBS_RIF_DDmtb:10%	0.0592	0.788473873168105	2125.55	1450	1581	1590	3536	2845	208.44	153.62
pmmA	Rv3257c	phosphomannomutase PmmA	ctl_exponential:9%	0.2608	0.996478945781676	2072	2750	2476	2437	1490	1401	280.78	291.6
fadD7	Rv0119	fatty-acid--CoA ligase FadD7	hypoxia_late:17%	0.2463	0.996143806953828	2068.42	2698	2565	2505	1480	1317	31.83	34.48
Rv0143c	Rv0143c	transmembrane protein	hypoxia_late:8%	0.2543	0.99806440815207	2037.89	2793	2509	2549	1327	1286	126.22	134.86
pks3	Rv1180	polyketide beta-ketoacyl synthase	acidic:18%; acidic_tyloxopol:12%	0.2626	0.9983456609663	2042.56	2823	2504	2525	1300	1332	229.07	242.68
Rv3723	Rv3723	transmembrane protein	microaerophilic:9%	0.269	0.997245982351817	2079.24	2291	1824	1823	2550	1956	389.41	317.62
Rv1205	Rv1205	hypothetical protein	hypoxia_late:13%; human_sputum:11%	0.2181	0.988724900273908	2088.93	2015	1624	1609	2986	2360	135.78	101.05
Rv2704	Rv2704	hypothetical protein	butyrate_plus_glucose:12%; low_iron:10%	0.0497	0.781397420029121	2141.53	1462	1631	1658	3495	2801	348.36	262.65
glpD2	Rv3302c	glycerol-3-phosphate dehydrogenase	ctl_exponential:8%	0.2596	0.998316995265292	2043.71	2980	2676	2646	1173	1158	140.72	159.94
pirG	Rv3810	cell surface protein	tyloxopol:13%	0.2405	0.989435994656255	2108.7	2276	1995	1924	2463	1913	564.26	488.89
Rv3067	Rv3067	hypothetical protein	zinc_limitation:13%	0.0476	0.790671308348989	2134.56	1480	1617	1551	3548	2849	176.19	131.01
Rv3228	Rv3228	hypothetical protein	nutrient_limitation:26%; PBS_RIF_DDmtb:25%	0.2011	0.961989754794957	2144.17	2267	2218	2193	2312	1756	147.76	139.42
Rv3104c	Rv3104c	transmembrane protein	zinc_limitation:10%	0.2135	0.974363750345881	2137.98	2260	2109	2174	2367	1802	210.39	192.67
fprB	Rv0886	ferredoxin/ferredoxin--NADP reductase	low_iron:21%; hypoxia_late:11%; PBS_RIF_DDmtb:10%	0.2316	0.997295595324084	2066.28	2819	2652	2705	1267	1231	34.56	39.5
thyX	Rv2754c	thymidylate synthase ThyX	hypoxia_late:28%	0.289	0.998409913920171	2076.17	2287	1795	1801	2583	1969	31.46	24.72
mgtC	Rv1811	Mg2+ transport P-type ATPase MgtC	PBS_RIF_DDmtb:12%	0.2822	0.998688735255207	2058.87	2264	1719	1734	2633	2014	179.09	139.74
Rv3235	Rv3235	hypothetical protein	hypoxia_late:15%	0.2877	0.999913296525144	2015.85	2174	1607	1550	2742	2120	159.87	119.75
rpoC	Rv0668	DNA-directed RNA polymerase subunit beta'	PBS_RIF_DDmtb:21%; nutrient_limitation:19%	0.3763	0.998922380489975	2121.15	3883	3250	3308	541	911	634.02	924.18
PPE35	Rv1918c	PPE family protein PPE35	hypoxia_late:20%	0.2528	0.99826802134451	2058.47	3478	3157	3157	804	737	54.86	76.87
Rv2023c	Rv2023c	hypothetical protein	hypoxia_late:25%	0.0512	0.815396423568007	2142.21	1430	1484	1649	3656	2917	107.33	76.5
Rv2792c	Rv2792c	resolvase	zinc_limitation:27%	0.1866	0.985791147175576	2101.09	1984	1695	1620	2984	2362	353.54	273.84
MT2027	MT2027	hypothetical protein	ctl_stationary:12%	0.0054	0.785709704773553	2122.08	1078	1394	1368	3809	3777	55.61	36.82
mazE5	Rv1943c	antitoxin MazE5	human_sputum:12%; hypoxia_fatty_acids:10%	0.0166	0.770773740731917	2146.04	1352	1588	1577	3702	2965	186.65	137.27
moaB3	Rv3324A	pterin-4-alpha-carbinolamine dehydratase moaB3	human_sputum:28%; hypoxia_late:11%	0.0432	0.76973529164068	2162.04	1164	1375	1637	3649	3651	47.91	32.13
Rv3471c	Rv3471c	hypothetical protein	hypoxia_late:30%; ctl_stationary:17%; PBS_RIF_DDmtb:13%	0.3513	0.999999991989529	2019.95	2191	1438	1574	2862	2192	11.33	7.11
Rv2698	Rv2698	transmembrane protein	PBS_RIF_DDmtb:12%; ctl_stationary:10%	0.1073	0.862788122242651	2160.72	1773	1663	1691	3260	2633	159.03	121.12
Rv1973	Rv1973	Mce associated membrane protein	hypoxia_late:40%; ctl_stationary:12%	0.3217	0.999993776251344	2022.85	2158	1410	1548	2946	2233	13.16	8.27
secD	Rv2587c	protein translocase subunit SecD	zinc_limitation:8%	0.268	0.998796234867036	2061.36	2984	2645	2690	1169	1218	312.44	351.86
ribG	Rv1409	bifunctional riboflavin biosynthesis diaminohydroxyphosphoribosylaminopyrimidine	low_iron:9%	0.2002	0.978449516174996	2142.82	2250	2251	2248	2249	1742	261.23	249.93
Rv2781c	Rv2781c	oxidoreductase	low_iron:26%	0.1939	0.973026015129716	2149.32	2256	2288	2246	2246	1738	231.99	223.88
nudC	Rv3199c	NADH pyrophosphatase	hypoxia_late:9%	0.2037	0.976211466249638	2149.33	2281	2165	2133	2387	1804	174.59	161.26
Rv0817c	Rv0817c	hypothetical protein	hypoxia_late:16%; PBS_RIF_DDmtb:12%; ctl_stationary:11%	0.245	0.995864644925322	2123.61	2298	1925	1951	2533	1945	51.69	43.44
Rv3845	Rv3845	hypothetical protein	hypoxia_late:25%	0.0931	0.871730448812833	2154.35	1681	1510	1540	3607	2800	53.89	37.01
cysT	Rv2399c	sulfate ABC transporter permease CysT	PBS_RIF_DDmtb:11%	0.2212	0.990696084877592	2134.92	2295	2014	2017	2488	1888	180.3	158.47
Rv3258c	Rv3258c	hypothetical protein	tyloxopol:11%; ctl_exponential:11%; hypoxia_late:10%	0.0902	0.841293907878756	2169.77	1725	1696	1730	3269	2644	311.29	241.51
gabT	Rv2589	4-aminobutyrate aminotransferase	microaerophilic:10%	0.2775	0.99950337739961	2052.32	2681	2411	2376	1590	1370	144.07	145.54
vapC35	Rv1962c	ribonuclease VapC35	PBS_RIF_DDmtb:10%	0.0427	0.810256304147494	2152.88	1544	1604	1582	3546	2844	128.74	96.28
glyU	Rvnt04	tRNA-Gly	hypoxia_late:32%; hypoxia_hypoxic:28%	0.0543	0.85789666832052	2140.58	1184	1262	1461	3878	3709	42.68	26.61
vapC33	Rv1242	ribonuclease VapC33	tyloxopol:10%	0.0335	0.789298575299308	2159.04	1529	1678	1596	3500	2825	205.34	157.29
pknD	Rv0931c	serine/threonine-protein kinase PknD	microaerophilic:11%	0.3051	0.999289245386853	2078.61	3183	2735	2817	984	1211	674.61	787.25
narK3	Rv0261c	nitrate/nitrite transporter	hypoxia_late:30%; PBS_RIF_DDmtb:16%; ctl_stationary:13%	0.2594	0.998224941144703	2088.22	2273	2342	2385	1837	1658	9.23	9.18
Rv1747	Rv1747	ABC transporter ATP-binding protein/permease	tyloxopol:9%	0.2812	0.998956097629666	2072.14	3438	3020	3077	835	879	202.67	266.63
Rv0121c	Rv0121c	hypothetical protein	hypoxia_late:15%	0.1515	0.938550937912326	2168.68	1932	1535	1758	3276	2555	37.29	26.57
infC	Rv1641	initiation factor IF-3	hypoxia_hypoxic:13%	0.185	0.992737137846654	2105.9	2021	1752	1602	2952	2331	1596.32	1255.74
mmpL7	Rv2942	transmembrane transport protein MmpL7	high_iron:11%	0.3114	0.999243252442662	2089.82	3523	3034	3138	763	930	341.7	451.46
Rv2991	Rv2991	hypothetical protein	nutrient_limitation:10%	0.0942	0.857721457413448	2174.85	1782	1711	1688	3263	2641	168.79	130.38
Rv1885c	Rv1885c	chorismate mutase	acidic_tyloxopol:14%; tyloxopol:13%	0.1879	0.99263189831261	2117.12	2038	1734	1644	2959	2336	355.02	277.72
vapC32	Rv1114	ribonuclease VapC32	hypoxia_late:16%	0.0204	0.80544669417707	2153.96	1466	1589	1525	3685	2932	110.7	81.36
Rv1291c	Rv1291c	hypothetical protein	hypoxia_late:40%; ctl_stationary:11%	0.1718	0.969069341032357	2155.26	2041	1416	1709	3421	2449	13.52	8.68
Rv0997	Rv0997	hypothetical protein	hypoxia_rar:13%	0.0257	0.780119643451927	2173.06	1478	1671	1722	3504	2816	309.42	238.9
htrA	Rv1223	serine protease HtrA	PBS_RIF_DDmtb:13%	0.2623	0.998796190406534	2076.78	2917	2592	2620	1241	1334	380.85	416.62
Rv1118c	Rv1118c	hypothetical protein	tyloxopol:8%	0.217	0.990318811122568	2147.61	2296	2042	2065	2484	1877	172.65	152.76
lpqB	Rv3244c	lipoprotein LpqB	microaerophilic:13%; PBS_RIF_DDmtb:11%	0.2359	0.998429967657175	2076.72	2982	2723	2689	1202	1193	152.31	175.79
Rv1877	Rv1877	MFS-type transporter	ctl_stationary:8%	0.2295	0.998367416799444	2080.99	3146	2901	2828	1068	1042	111.22	137.46
whiB5	Rv0022c	transcriptional regulator WhiB5	hypoxia_late:32%; ctl_stationary:18%; PBS_RIF_DDmtb:16%	0.2824	0.999993782490353	2036.16	2146	1381	1591	3010	2245	9.06	5.58
PPE10	Rv0442c	PPE family protein PPE10	ctl_stationary:14%; hypoxia_late:12%; PBS_RIF_DDmtb:11%; human_sputum:10%	0.2061	0.996362909992495	2128.78	2655	2607	2428	1701	1413	44.2	47.85
Rv0135c	Rv0135c	transcriptional regulator	hypoxia_fatty_acids:13%	0.1649	0.988517296701748	2141.04	2032	1787	1679	2975	2351	394.42	314.63
Rv3688c	Rv3688c	hypothetical protein	ctl_exponential:8%	0.0581	0.819711386385447	2205.84	1664	1674	1846	3367	2718	201.4	157.34
echA21	Rv3774	enoyl-CoA hydratase EchA21	tyloxopol:12%	0.2193	0.995824206131745	2151.07	2315	1979	2018	2532	1941	340.04	295.81
Rv0275c	Rv0275c	transcriptional regulator	hypoxia_fatty_acids:15%	0.2564	0.998783520279455	2096.28	2289	1798	1818	2628	2005	144.68	116.37
pdxH	Rv2607	pyridoxine/pyridoxamine 5'-phosphate oxidase	hypoxia_late:24%; ctl_stationary:10%	0.3122	0.999994900381532	2068.11	2259	1623	1807	2671	2059	28.42	20.99
Rv2529	Rv2529	hypothetical protein	hypoxia_late:40%	0.2	0.992013659825555	2156.28	2526	2522	2451	1870	1517	22.38	23.84
Rv0273c	Rv0273c	transcriptional regulator	ctl_stationary:12%; hypoxia_late:10%	0.2145	0.997679417276159	2127.29	2139	1732	1739	2873	2251	103.38	80.23
Rv1610	Rv1610	membrane protein	hypoxia_late:18%	0.2584	0.998968709256798	2094.03	2265	1771	1796	2663	2038	140.35	111.51
Rv0565c	Rv0565c	monooxygenase	ctl_stationary:13%; hypoxia_late:13%; PBS_RIF_DDmtb:11%	0.2121	0.997580063088698	2132.62	2662	2550	2602	1658	1375	45.09	49.14
sodC	Rv0432	superoxide dismutase	tyloxopol:14%; high_iron:10%	0.2571	0.9990026581429	2091.47	2277	1806	1763	2639	2033	473.01	379.68
Rv2712c	Rv2712c	hypothetical protein	PBS_RIF_DDmtb:24%	0.1944	0.996318009235172	2143.3	2249	2299	2318	2194	1691	137.45	133.91
regX3	Rv0491	two component sensory transduction protein RegX	microaerophilic:19%	0.2613	0.999917283259512	2066.36	2224	1723	1690	2696	2078	314.23	246.51
Rv0465c	Rv0465c	HTH-type transcriptional regulator	hypoxia_fatty_acids:18%; low_iron:17%	0.2067	0.997656612778393	2135.65	2687	2561	2538	1668	1399	74.95	81.07
Rv0021c	Rv0021c	hypothetical protein	hypoxia_late:11%; ctl_stationary:10%	0.1836	0.98151838129184	2179.81	2299	2231	2214	2390	1791	92.6	87.53
pepQ	Rv2535c	cytoplasmic peptidase PepQ	microaerophilic:8%	0.1972	0.998004224556296	2118.22	2216	2356	2373	2080	1615	180.05	179.39
Rv2851c	Rv2851c	GCN5-like N-acetyltransferase	microaerophilic:23%	0.0191	0.793244326081905	2208.39	1621	1797	1704	3430	2753	309.12	247.18
yjcE	Rv2287	Na(+)/H(+) transporter	hypoxia_late:20%	0.1921	0.99726113873474	2135.86	2753	2712	2557	1562	1328	36.66	41.87
Rv1139c	Rv1139c	hypothetical protein	PBS_RIF_DDmtb:15%; acidic:15%	0.0957	0.910497849595186	2200.72	1916	1737	1721	3232	2578	77.98	60.83
nrdR	Rv2718c	transcriptional regulator NrdR	zinc_limitation:25%	0.0127	0.790097724925106	2204.31	1608	1799	1669	3454	2768	272.95	218.45
lipB	Rv2217	octanoyltransferase	tyloxopol:8%	0.2612	0.999925916848926	2068.21	2242	1747	1673	2683	2074	265.57	208.86
Rv1778c	Rv1778c	hypothetical protein	hypoxia_rar:10%	0.0055	0.783386586229522	2208	1553	1785	1686	3498	2818	269.69	213.56
plsB2	Rv2482c	glycerol-3-phosphate acyltransferase	zinc_limitation:8%	0.2258	0.99865179211635	2098.67	3296	2997	3113	938	929	102.61	135.4
Rv3579c	Rv3579c	tRNA/rRNA methyltransferase	microaerophilic:14%; PBS_RIF_DDmtb:13%	0.1735	0.979245632518892	2188.59	2300	2247	2210	2388	1821	171.07	163.17
Rv1075c	Rv1075c	hypothetical protein	hypoxia_late:25%; PBS_RIF_DDmtb:22%	0.1976	0.98958464141097	2186.15	2313	2155	2182	2419	1881	26.62	24.44
lpqU	Rv1022	lipoprotein LpqU	hypoxia_late:13%; human_sputum:12%	0.2552	0.999057612608584	2114.93	2294	1814	1897	2617	2002	99.87	80.48
arfC	Rv0901	membrane protein	hypoxia_late:14%	0.0928	0.915457318704997	2197.99	1920	1789	1719	3181	2544	121.72	97.14
alkA	Rv1317c	bifunctional regulatory protein/DNA repair enzyme AlkA	nutrient_limitation:23%; PBS_RIF_DDmtb:15%	0.2067	0.998128946822102	2125.91	2780	2605	2623	1513	1344	125.49	138.95
Rv3040c	Rv3040c	hypothetical protein	hypoxia_late:14%	0.2046	0.994206785366237	2169.75	2324	2068	2047	2525	1912	62.24	55.38
espH	Rv3867	ESX-1 secretion-associated protein EspH	acidic_tyloxopol:8%	0.0772	0.903897335429058	2196.59	1853	1833	1761	3168	2523	838.34	685.32
tgs4	Rv3088	diacyglycerol O-acyltransferase	hypoxia_late:13%; nutrient_limitation:10%	0.1916	0.996437458541729	2153.61	2634	2585	2500	1741	1455	45.18	49.06
Rv0191	Rv0191	MFS-type transporter	hypoxia_late:15%	0.2163	0.997956380518036	2145.56	2541	2421	2415	1918	1525	72.25	73.54
Rv3651	Rv3651	hypothetical protein	butyrate:10%	0.1818	0.989880834220143	2171.42	2285	2321	2256	2284	1741	112.76	109.36
Rv0148	Rv0148	short-chain type dehydrogenase/reductase	acidic:9%	0.201	0.99351311151235	2172.39	2316	2060	2075	2506	1929	376.39	337.27
rplY	Rv1015c	50S ribosomal protein L25	hypoxia_rar:11%	0.2485	0.999902165008338	2073.53	2164	1683	1689	2772	2152	280.98	217.75
Rv1362c	Rv1362c	membrane protein	hypoxia_late:10%	0.2578	0.999924152537708	2076.3	2200	1697	1703	2739	2128	136.14	105.5
Rv1231c	Rv1231c	membrane protein	hypoxia_late:10%	0.0862	0.91647483367168	2206.19	1911	1818	1744	3165	2548	173.27	140.12
Rv3364c	Rv3364c	hypothetical protein	hypoxia_late:14%	0.0178	0.823986829208492	2210.21	1528	1610	1776	3605	2880	109.91	83
galE1	Rv3634c	UDP-glucose 4-epimerase	acidic_tyloxopol:13%; acidic:13%	0.1756	0.98519976522641	2194.08	2303	2216	2212	2414	1847	216.81	204.62
MT1746.1	MT1746.1	hypothetical protein	microaerophilic:29%; hypoxia_fatty_acids:28%	0.0064	0.746983782874118	2247.96	1477	1665	1645	3422	3454	32.95	24.63
vapC43	Rv2872	ribonuclease VapC43	ctl_stationary:19%; hypoxia_late:10%; PBS_RIF_DDmtb:10%	0.0642	0.87305682579839	2220.84	1822	1679	1736	3415	2690	64.92	49.69
dosT	Rv2027c	two component sensor histidine kinase DosT	hypoxia_late:16%; hypoxia_hypoxic:12%; ctl_stationary:11%	0.185	0.996927889296083	2151.34	2721	2699	2794	1459	1350	21.69	25.51
Rv0381c	Rv0381c	hypothetical protein	ctl_exponential:9%	0.1819	0.990787371244589	2184.4	2329	2176	2067	2490	1885	134.26	123.52
Rv2567	Rv2567	hypothetical protein	high_iron:11%	0.1908	0.998508342463495	2113.8	3395	3181	3084	908	873	83.56	116.8
Rv1179c	Rv1179c	hypothetical protein	high_iron:8%	0.2149	0.998823040106587	2118.43	3490	3193	3190	845	841	123.6	175.08
MT2837	MT2837	hypothetical protein	hypoxia_late:41%	0.0831	0.854601864043121	2253.22	2072	2029	1892	2456	2886	14.93	12.4
ceoB	Rv2691	TRK system potassium uptake protein CeoB	PBS_RIF_DDmtb:17%; ctl_stationary:10%	0.2571	0.999930257032833	2086.74	2230	1765	1694	2729	2095	133.56	104.34
TB18.6	Rv2140c	hypothetical protein	acidic_tyloxopol:8%	0.0627	0.8798680184473	2227.44	1874	1838	1767	3223	2602	180.19	146.39
Rv1508c	Rv1508c	membrane protein	tyloxopol:11%	0.1868	0.998437625073788	2126.96	2994	2836	2801	1224	1205	136.35	164.92
Rv3193c	Rv3193c	transmembrane protein	tyloxopol:7%	0.2261	0.99905648300035	2129.85	3566	3215	3321	786	822	163.5	236.38
MT2370.2	MT2370.2	hypothetical protein	hypoxia_late:31%; ctl_stationary:15%; PBS_RIF_DDmtb:10%	0.0609	0.796484234049804	2279.32	1713	1613	1826	3270	3277	22.55	16.52
Rv1258c	Rv1258c	multidrug-efflux transporter	hypoxia_late:23%; ctl_stationary:11%	0.2196	0.998746644579392	2145.37	2449	2400	2349	1990	1603	19.41	19.48
Rv2479c	Rv2479c	transposase	hypoxia_late:23%; ctl_stationary:19%	0.1807	0.991307389399796	2209.17	2339	2276	2100	2480	1876	23.01	21.55
Rv2508c	Rv2508c	integral membrane protein	human_sputum:12%	0.1924	0.997929399644253	2162.72	2625	2508	2603	1789	1436	98.5	105.92
Rv2862c	Rv2862c	hypothetical protein	hypoxia_late:24%	0.134	0.980353989469369	2196.75	2090	1841	1725	3063	2386	66.52	53.28
relK	Rv3358	toxin RelK	hypoxia_late:32%; ctl_stationary:11%	0.0286	0.770365528200277	2277.36	1939	1977	2006	2478	3085	19.48	16.45
fadD1	Rv1750c	fatty-acid--CoA ligase FadD1	hypoxia_late:13%	0.1754	0.99735875283784	2162.75	2729	2714	2612	1611	1365	37.65	43.28
Rv0495c	Rv0495c	hypothetical protein	high_iron:9%	0.1724	0.993203952214488	2207.99	2335	2148	2164	2509	1907	138.95	128.55
ftsQ	Rv2151c	cell division protein FtsQ	microaerophilic:13%	0.1621	0.989714812129247	2216.6	2327	2240	2218	2458	1863	141.32	134.31
echA11	Rv1141c	enoyl-CoA hydratase EchA11	hypoxia_late:15%; PBS_RIF_DDmtb:12%	0.2093	0.998428744622703	2159.55	2331	1971	2010	2568	1951	92.73	80.44
Rv2223c	Rv2223c	carboxylesterase B	tyloxopol:10%	0.1753	0.997871969509591	2163.43	2787	2686	2733	1530	1336	71.89	82.67
mshD	Rv0819	mycothiol acetyltransferase	microaerophilic:10%	0.1646	0.994783176388865	2212.93	2320	2236	2252	2426	1853	199.34	189.93
Rv0303	Rv0303	dehydrogenase/reductase	hypoxia_fatty_acids:20%; nutrient_limitation:13%; PBS_RIF_DDmtb:12%	0.1615	0.993325687792356	2222.5	2340	2196	2192	2512	1896	115.02	107.95
hemL	Rv0524	glutamate-1-semialdehyde 2,1-aminomutase	high_iron:9%	0.1928	0.998353518153898	2172.26	2711	2562	2617	1707	1435	201.55	219.97
lipT	Rv2045c	carboxylesterase LipT	hypoxia_late:8%	0.1674	0.99788192182966	2180.23	2762	2700	2660	1630	1369	72.79	83.33
MT0655	MT0655	hypothetical protein	PBS_RIF_DDmtb:9%	0.0017	0.811845854146542	2261.57	1716	1860	1824	3392	2733	211.46	175.08
Rv1637c	Rv1637c	hypothetical protein	hypoxia_rar:8%	0.2133	0.999527287836033	2146.94	2337	1961	1921	2582	1972	213.39	183.33
MT0291.1	MT0291.1	hypothetical protein	microaerophilic:47%; hypoxia_late:18%	0.0154	0.802185042947576	2282.08	1513	1627	1724	3511	3463	30.21	22.14
mak	Rv0127	maltokinase	zinc_limitation:8%	0.1757	0.998059319078376	2188.08	2661	2582	2571	1809	1463	124.46	135.98
Rv1770	Rv1770	hypothetical protein	hypoxia_late:10%	0.1801	0.998065490868916	2188.45	2584	2505	2567	1892	1510	131.19	139.9
lpqR	Rv0838	lipoprotein LpqR	hypoxia_late:14%; ctl_stationary:12%; PBS_RIF_DDmtb:10%	0.2144	0.999456770856981	2152.09	2323	1927	1894	2631	2029	63.25	53.29
Rv3662c	Rv3662c	hypothetical protein	butyrate:15%; low_iron:12%; cholesterol:12%; butyrate_plus_glucose:11%	0.1956	0.998777310725047	2166.43	2304	1964	1917	2657	2032	205.33	176.12
lat	Rv3290c	L-lysine-epsilon aminotransferase	hypoxia_fatty_acids:31%; cholesterol:16%; microaerophilic:14%; ctl_stationary:13%	0.1861	0.998401550310893	2184.02	2672	2542	2607	1762	1484	229.46	248.81
