GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	sputum_250754_W0	sputum_503557_W0
ansA	Rv1538c	L-aparaginase	hypoxia_late:19%; PBS_RIF_DDmtb:13%	-0.0656	0.999252417420231	1810.65	1930	1946	1902	1442	1860	136.25	140.37
Rv2300c	Rv2300c	metallo-hydrolase	hypoxia_late:15%	-0.0729	0.999753149071549	1807.03	1915	1911	1936	1430	1871	67.79	70.19
Rv2146c	Rv2146c	transmembrane protein	acidic:8%	-0.0677	0.999500723073587	1802.26	1903	1925	1923	1420	1869	375.27	386.78
Rv0034	Rv0034	hypothetical protein	hypoxia_late:25%; ctl_stationary:11%	-0.0803	0.99920544011344	1822.52	1962	1890	1853	1460	1974	39.76	41.67
F6	Rvnc0003	putative small regulatory RNA	low_iron:21%	-0.0796	0.999163265200374	1822.36	1944	1861	1851	1451	2034	152.1	159.67
Rv1192	Rv1192	hypothetical protein	low_iron:13%	-0.0675	0.999269935153969	1800.36	1900	1933	1911	1422	1864	566.84	583.4
Rv0191	Rv0191	MFS-type transporter	hypoxia_late:15%	-0.0742	0.999858151107247	1789.85	1875	1888	1991	1400	1827	73.8	76.2
Rv1825	Rv1825	hypothetical protein	INDIGO_exponential:9%	-0.074	0.999761790742143	1791	1891	1896	1950	1405	1843	90.79	93.9
fadE2	Rv0154c	acyl-CoA dehydrogenase FadE2	zinc_limitation:10%	-0.0698	0.999576156059364	1790.66	1888	1920	1939	1415	1820	136.07	140.22
Rv1919c	Rv1919c	hypothetical protein	ctl_exponential:15%; acidic:13%	-0.0696	0.999389506846536	1793.88	1898	1927	1922	1416	1835	436.25	449.8
crp	Rv3676	cAMP receptor protein	tyloxopol:8%	-0.072	0.999674162051931	1786.43	1872	1906	1952	1404	1828	375.44	387.19
Rv0634A	Rv0634A	hypothetical protein	ctl_exponential:18%; acidic:10%	-0.0682	0.999142331858408	1799.62	1908	1928	1905	1423	1862	490.72	506.21
glgP	Rv1328	glycogen phosphorylase	ctl_exponential:9%	-0.0665	0.996722886091019	1806.49	1922	1956	1856	1441	1884	173.51	178.98
Rv2635	Rv2635	hypothetical protein	hypoxia_late:25%; ctl_stationary:18%; PBS_RIF_DDmtb:10%	-0.1333	0.999999997628989	1768.75	1820	1327	1672	1918	2163	2.23	3.05
MTS1082	MTS1082	putative small regulatory RNA	hypoxia_rar:14%; ctl_exponential:13%; acidic:10%	-0.0896	0.999830316366803	1796.57	1906	1825	1931	1417	1933	152.79	160.25
Rv1744c	Rv1744c	membrane protein	hypoxia_late:15%; human_sputum:13%	-0.0816	0.999791055931201	1788.08	1896	1864	1953	1380	1881	93.61	97.36
Rv3050c	Rv3050c	AsnC family transcriptional regulator	low_iron:11%	-0.0724	0.999547183120125	1783.87	1877	1910	1940	1403	1819	289.59	298.86
ephB	Rv1938	epoxide hydrolase EphB	hypoxia_late:25%	-0.087	0.999069725878796	1816.42	1983	1923	1666	1447	2103	12.63	13.62
Rv1879	Rv1879	hypothetical protein	acidic_tyloxopol:10%	-0.0686	0.996281947833073	1805.76	1932	1952	1831	1445	1895	92.66	96.02
cpdA	Rv0805	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	zinc_limitation:18%	-0.0721	0.999216271228077	1789.01	1879	1918	1912	1407	1858	813.53	839.51
parA	Rv3918c	chromosome partitioning protein ParA	INDIGO_exponential:10%	-0.0726	0.999363587018261	1785.51	1884	1905	1919	1408	1840	107.74	111.4
Rv1948c	Rv1948c	hypothetical protein	hypoxia_late:15%	-0.0846	0.998896771254077	1809.08	1972	1892	1701	1465	2047	45.66	48.44
mpt63	Rv1926c	immunogenic protein Mpt63	tyloxopol:12%	-0.0744	0.999566082905912	1776.18	1864	1895	1944	1394	1814	514.2	531.12
Rv1132	Rv1132	hypothetical protein	PBS_RIF_DDmtb:13%	-0.0741	0.999447138885872	1782.81	1865	1908	1928	1397	1846	475.53	491.07
cycA	Rv1704c	D-serine/alanine/glycine transporter protein CycA	tyloxopol:11%	-0.0693	0.996204123906116	1799.92	1920	1951	1846	1437	1872	200	206.82
Rv3404c	Rv3404c	hypothetical protein	INDIGO_exponential:8%	-0.0767	0.998625462867676	1793.09	1907	1904	1885	1418	1879	80.59	83.79
ppk1	Rv2984	polyphosphate kinase	hypoxia_late:9%	-0.0728	0.998401847612332	1783.97	1887	1921	1897	1409	1834	115.11	119
Rv3727	Rv3727	oxidoreductase	nutrient_limitation:29%; PBS_RIF_DDmtb:20%	-0.0734	0.997564697010054	1786.13	1893	1915	1877	1421	1851	64.49	66.85
Rv3915	Rv3915	peptidoglycan hydrolase	PBS_RIF_DDmtb:8%	-0.0754	0.999120681886534	1776.18	1867	1901	1913	1396	1833	289.01	299.06
ileS	Rv1536	isoleucine--tRNA ligase	acidic:20%; PBS_RIF_DDmtb:17%; acidic_tyloxopol:13%; nutrient_limitation:10%	-0.0825	0.999853382934081	1759.57	1828	1860	2010	1353	1784	106.99	110.77
moeA1	Rv0994	molybdopterin molybdenumtransferase 1	microaerophilic:9%	-0.0743	0.997570913492544	1784.69	1892	1926	1873	1413	1847	201.4	208.84
Rv0470A	Rv0470A	hypothetical protein	hypoxia_late:16%	-0.1007	0.999902879500075	1772.54	1894	1786	1961	1354	1905	31.89	33.74
pheU	Rvnt13	tRNA-Phe	hypoxia_late:31%; zinc_limitation:12%	-0.1474	0.999999997762999	1753.93	1897	1573	1577	1439	2356	10.56	12.18
Rv2680	Rv2680	hypothetical protein	high_iron:10%	-0.0761	0.99860967794082	1769.08	1863	1898	1903	1401	1808	283.73	293.79
lpqL	Rv0418	lipoprotein aminopeptidase LpqL	tyloxopol:9%	-0.0894	0.999936268912438	1737.55	1786	1829	2049	1325	1741	186.12	193.05
prpD	Rv1130	methylcitrate dehydratase PrpD	hypoxia_fatty_acids:21%; PBS_RIF_DDmtb:20%; human_sputum:17%; nutrient_limitation:12%; acidic_tyloxopol:11%	-0.0793	0.997948832935224	1774.38	1855	1894	1894	1386	1873	2993.18	3103.57
mtrA	Rv3246c	two component DNA-binding response regulator MtrA	cholesterol:12%	-0.081	0.999076635576065	1762.29	1848	1884	1921	1377	1812	603.61	626.32
mtrB	Rv3245c	two component sensory histidine kinase MtrB	PBS_RIF_DDmtb:11%	-0.0825	0.999341784504971	1759.36	1838	1878	1934	1366	1813	353.55	367.08
Rv2956	Rv2956	hypothetical protein	human_sputum:17%	-0.0742	0.994717895120055	1782	1916	1931	1814	1419	1857	180.54	187.58
pgmA	Rv3068c	phosphoglucomutase PgmA	hypoxia_late:16%	-0.0815	0.995058032715082	1774.55	1926	1938	1727	1429	1880	63.67	66.87
Rv0998	Rv0998	acetyltransferase	ctl_stationary:8%	-0.0852	0.999043959989391	1754.34	1850	1873	1916	1373	1790	128.02	133.42
Rv3599c	Rv3599c	hypothetical short protein	PBS_RIF_DDmtb:12%	-0.1542	0.999998850687615	1746.52	1883	1588	1696	1468	2136	33.54	37.76
fecB	Rv3044	FeIII-dicitrate-binding periplasmic lipoprotein	tyloxopol:8%	-0.0865	0.999137782996388	1749.72	1834	1869	1926	1357	1795	367.5	382.57
Rv2204c	Rv2204c	hypothetical protein	human_sputum:8%	-0.0796	0.994972347814968	1760.66	1860	1897	1859	1390	1825	1196.96	1242.91
Rv3716c	Rv3716c	hypothetical protein	zinc_limitation:10%	-0.0814	0.996385368462538	1757.26	1856	1891	1879	1382	1807	746.29	775.32
Rv2675c	Rv2675c	hypothetical protein	low_iron:7%	-0.082	0.994114140911317	1765.09	1889	1907	1801	1412	1842	132.48	138.46
xseB	Rv1107c	exodeoxyribonuclease VII small subunit	INDIGO_exponential:10%	-0.0875	0.996625647797748	1759.05	1881	1871	1872	1375	1826	246.25	257.44
fadD11.1	Rv1549	fatty-acid-CoA ligase fadD11_1	hypoxia_late:12%	-0.093	0.996006827623998	1767.16	1905	1863	1773	1402	1921	55.73	58.98
echA11	Rv1141c	enoyl-CoA hydratase EchA11	hypoxia_late:15%; PBS_RIF_DDmtb:12%	-0.0874	0.994799983861035	1762.89	1912	1909	1720	1414	1887	92.36	97.41
Rv0996	Rv0996	transmembrane protein	microaerophilic:19%	-0.08	0.993726401980862	1759.92	1871	1900	1840	1399	1816	235.72	245.2
glpQ2	Rv0317c	glycerophosphoryl diester phosphodiesterase GlpQ	zinc_limitation:14%	-0.0853	0.994142444916366	1761.48	1880	1889	1829	1398	1838	114.87	120.29
rmlB	Rv3464	dTDP-glucose 4,6-dehydratase	INDIGO_exponential:10%	-0.0826	0.995784059604553	1756.83	1858	1893	1869	1387	1805	210.66	219.43
MT3080.1	MT3080.1	hypothetical protein	zinc_limitation:10%	-0.0978	0.99840877329158	1758.09	1874	1820	1887	1376	1863	150.49	158.61
Rv2499c	Rv2499c	oxidase regulatory-like protein	microaerophilic:24%; low_iron:16%	-0.0849	0.995614689863616	1754.51	1862	1877	1860	1379	1823	165.59	172.92
Rv3329	Rv3329	aminotransferase	hypoxia_late:11%	-0.0971	0.999873448632985	1718.68	1791	1804	2023	1312	1705	77.87	81.32
MT3630	MT3630	hypothetical protein	hypoxia_late:42%	-0.1155	0.998879027484279	1772.82	1890	1755	1751	1435	2064	46.26	50.21
Rv1591	Rv1591	transmembrane protein	ctl_exponential:8%	-0.0939	0.99911158856124	1733.43	1823	1841	1938	1340	1759	177.05	185.27
MTS0824	MTS0824	small intergenic RNA	human_sputum:12%	-0.0843	0.993667730029294	1757.22	1876	1883	1834	1385	1836	266.53	278.34
Rv1431	Rv1431	hypothetical protein	hypoxia_late:16%	-0.0945	0.997407869537818	1750.76	1853	1858	1865	1370	1837	32.76	34.57
Rv3364c	Rv3364c	hypothetical protein	hypoxia_late:14%	-0.0925	0.99472405671936	1758.73	1882	1859	1819	1378	1885	109.36	115.25
fmt	Rv1406	methionyl-tRNA formyltransferase	hypoxia_late:17%; zinc_limitation:14%	-0.086	0.994123492243546	1750.89	1868	1885	1849	1384	1796	135.77	141.87
MT3077	MT3077	hypothetical protein	hypoxia_late:40%	-0.1184	0.998885064898626	1768.23	1934	1761	1783	1391	2006	17.61	19.15
Rv2484c	Rv2484c	diacyglycerol O-acyltransferase	microaerophilic:18%; acidic:12%; ctl_stationary:10%	-0.093	0.996481348933885	1735.68	1835	1868	1871	1359	1775	147.98	155.27
MT2142	MT2142	hypothetical protein	human_sputum:9%	-0.0978	0.996385285041863	1749.66	1866	1842	1857	1360	1854	176.44	186.09
opcA	Rv1446c	OXPP cycle protein OpcA	human_sputum:11%	-0.0903	0.994677711767118	1736.09	1837	1862	1867	1358	1786	147.37	154.35
Rv2091c	Rv2091c	membrane protein	human_sputum:8%	-0.0923	0.995534693821458	1732.31	1825	1856	1884	1351	1776	502.18	525
Rv0246	Rv0246	integral membrane protein	human_sputum:12%	-0.0869	0.992620102979568	1746.2	1861	1886	1804	1383	1824	79.62	83.46
Rv1271c	Rv1271c	hypothetical protein	human_sputum:14%; ctl_exponential:12%	-0.095	0.99311960002956	1739	1847	1848	1839	1367	1822	168.54	177.22
Rv1097c	Rv1097c	hypothetical protein	tyloxopol:11%	-0.0889	0.991715550884777	1736.8	1849	1876	1830	1368	1789	237.67	248.79
eccE5	Rv1797	ESX-5 type VII secretion system protein EccE	acidic:8%	-0.0959	0.995569104137458	1726.83	1810	1851	1878	1343	1783	475.33	498.38
Rv1828	Rv1828	HTH-type transcriptional regulator	butyrate_plus_glucose:8%	-0.0908	0.992017586440073	1734.11	1832	1865	1854	1356	1793	512.41	535.96
tsnR	Rv1644	23S rRNA methyltransferase TsnR	high_iron:10%	-0.09	0.991195500680293	1734.7	1839	1874	1825	1362	1802	452.04	473.15
Rv1461	Rv1461	hypothetical protein	low_iron:20%; zinc_limitation:15%; nutrient_limitation:12%	-0.0941	0.99297223891014	1731.09	1813	1855	1862	1346	1810	621.29	650.36
Rv2509	Rv2509	short-chain type dehydrogenase/reductase	tyloxopol:10%	-0.1019	0.997956318572763	1714.18	1809	1826	1899	1324	1746	144.37	152.18
fusA2	Rv0120c	elongation factor G	acidic:22%	-0.0925	0.991116986035562	1732.06	1851	1881	1793	1374	1788	99.72	104.86
MT2165.1	MT2165.1	hypothetical protein	human_sputum:32%; hypoxia_late:19%; hypoxia_hypoxic:11%	-0.0957	0.994022183953575	1721.14	1818	1847	1876	1344	1751	1772.1	1858.28
Rv1248c	Rv1248c	multifunctional 2-oxoglutarate dehydrogenase E1 component /2-oxoglutarate dehydrogenase	human_sputum:7%	-0.0934	0.991035443695723	1730.73	1836	1875	1779	1361	1831	338.78	355.97
Rv1841c	Rv1841c	hypothetical protein	zinc_limitation:8%	-0.1073	0.998642595195655	1708.34	1787	1796	1915	1313	1765	76.16	80.62
Rv0607	Rv0607	hypothetical protein	zinc_limitation:13%; hypoxia_late:12%; ctl_stationary:12%; PBS_RIF_DDmtb:11%	-0.1161	0.996158175168895	1731.39	1895	1819	1658	1392	1922	45.12	48.82
rpoZ	Rv1390	DNA-directed RNA polymerase subunit omega	microaerophilic:10%	-0.0925	0.990232646079603	1725.33	1833	1867	1808	1355	1792	1170.03	1226
lpqW	Rv1166	monoacyl phosphatidylinositol tetramannoside-binding protein LpqW	PBS_RIF_DDmtb:15%	-0.0948	0.990476985168817	1724.38	1840	1872	1794	1364	1779	104.37	109.93
dnaG	Rv2343c	DNA primase	hypoxia_late:9%	-0.1049	0.996294968880911	1706.21	1794	1828	1881	1330	1729	109.97	116.22
Rv3226c	Rv3226c	hypothetical protein	PBS_RIF_DDmtb:22%; zinc_limitation:11%	-0.1016	0.991857611927869	1722.35	1830	1833	1836	1345	1797	88.02	93.01
cyp137	Rv3685c	cytochrome P450 Cyp137	PBS_RIF_DDmtb:11%	-0.0966	0.9912461016418	1720.96	1846	1866	1746	1363	1811	65.5	69.25
Rv1487	Rv1487	hypothetical protein	zinc_limitation:10%; acidic:10%	-0.1039	0.99181993268325	1723.28	1845	1852	1777	1365	1804	156.69	166.42
MT1232	MT1232	hypothetical protein	human_sputum:10%; acidic_tyloxopol:10%	-0.1118	0.99347321038204	1722.92	1843	1797	1778	1349	1877	127.07	135.92
Rv0201c	Rv0201c	hypothetical protein	butyrate_plus_glucose:9%	-0.1038	0.995406487525432	1700.2	1797	1813	1891	1315	1718	272.16	286.86
Rv1975	Rv1975	hypothetical protein	hypoxia_late:19%; ctl_stationary:13%	-0.1176	0.998959752229973	1701.33	1799	1760	1927	1282	1778	66.45	70.83
Rv3723	Rv3723	transmembrane protein	microaerophilic:9%	-0.1022	0.992707652533169	1712.11	1804	1839	1864	1334	1750	390.19	411.16
yrbE2B	Rv0588	hypothetical protein	hypoxia_fatty_acids:22%; microaerophilic:13%	-0.0971	0.990423611192745	1717.23	1841	1870	1755	1369	1777	150.66	159.05
mcr19	Rvnc0004	fragment of putative small regulatory RNA	microaerophilic:22%; low_iron:11%	-0.1079	0.992922857726346	1715.51	1857	1817	1741	1350	1841	335.36	356.95
fadD36	Rv1193	fatty-acid--CoA ligase FadD36	low_iron:11%	-0.0995	0.990398400515354	1717.65	1821	1850	1838	1347	1761	161.79	170.47
Rv2707	Rv2707	hypothetical protein	PBS_RIF_DDmtb:12%	-0.0974	0.989386456980856	1719.28	1816	1854	1827	1348	1780	409.87	430.87
Rv3888c	Rv3888c	membrane protein	hypoxia_late:9%	-0.1014	0.990441582372973	1714.41	1822	1845	1832	1336	1767	117.22	123.87
MT2558	MT2558	hypothetical protein	microaerophilic:13%; ctl_stationary:11%; acidic:11%; butyrate:11%	-0.1449	0.998473379929762	1728.78	1869	1658	1756	1371	2026	35.78	39.71
dppC	Rv3664c	dipeptide ABC transporter permease DppC	hypoxia_late:23%	-0.1374	0.997974775053398	1721.45	1878	1704	1841	1295	1931	8.99	9.93
PE27A	Rv3018A	PE family protein	hypoxia_late:69%	-0.1654	0.999974342662915	1698.14	1733	1114	1306	2325	2179	14.52	19.3
mpt64	Rv1980c	immunogenic protein Mpt64	acidic_tyloxopol:12%; hypoxia_rar:12%	-0.1021	0.991303370412368	1706.26	1790	1835	1858	1327	1752	477.49	502.88
lipP	Rv2463	esterase/lipase LipP	high_iron:8%	-0.107	0.996620704324713	1687.07	1757	1806	1898	1297	1712	271.99	286.87
leuW	Rvnt19	tRNA-Leu	hypoxia_late:31%; ctl_stationary:11%	-0.1694	0.999999991378734	1653.35	1718	1068	1378	2062	2176	13.85	18.41
fadE18	Rv1933c	acyl-CoA dehydrogenase FadE18	hypoxia_late:12%	-0.102	0.98948873228809	1714.11	1831	1857	1788	1352	1770	190.28	201.5
gyrA	Rv0006	DNA gyrase subunit A	INDIGO_exponential:8%	-0.1061	0.992760525719793	1699.26	1763	1823	1870	1310	1763	354.17	373.88
recN	Rv1696	DNA repair protein RecN	hypoxia_late:12%	-0.1106	0.997867396150186	1680.22	1760	1794	1910	1283	1691	79.4	84.13
icl1	Rv0467	isocitrate lyase	nutrient_limitation:38%; hypoxia_fatty_acids:11%; human_sputum:11%	-0.1035	0.988929870420861	1709.76	1781	1838	1823	1323	1815	3735.84	3937.77
Rv2248	Rv2248	hypothetical protein	INDIGO_exponential:10%	-0.117	0.998302280813291	1681.58	1766	1767	1920	1264	1731	83.53	88.87
Rv3694c	Rv3694c	transmembrane protein	zinc_limitation:10%	-0.1053	0.990457488635827	1700.09	1802	1830	1848	1331	1719	178.32	188.51
nuoN	Rv3158	NADH-quinone oxidoreductase subunit N	high_iron:13%; butyrate_plus_glucose:10%	-0.1034	0.987590019110334	1701.46	1811	1846	1782	1339	1757	165.55	175.04
Rv1598c	Rv1598c	hypothetical protein	cholesterol:8%	-0.1132	0.990442960234621	1704.06	1814	1799	1786	1332	1818	121.62	130.02
Rv2728c	Rv2728c	hypothetical protein	hypoxia_late:22%; microaerophilic:11%	-0.1124	0.99162790281641	1695.76	1852	1824	1657	1337	1839	72.86	78.21
mku	Rv0937c	non-homologous end joining protein Ku	INDIGO_exponential:10%	-0.1209	0.998448484560622	1679.15	1741	1757	1925	1274	1737	58.56	62.47
pks5	Rv1527c	polyketide synthase	hypoxia_late:18%	-0.1079	0.988276015065251	1701.68	1808	1853	1752	1341	1782	93.8	99.82
che1	Rv2393	ferrochelatase	microaerophilic:17%	-0.1041	0.988696476557309	1697.85	1796	1831	1847	1321	1725	199.6	210.71
Rv2617c	Rv2617c	transmembrane protein	low_iron:24%; hypoxia_fatty_acids:12%	-0.1043	0.987501550364546	1697.38	1807	1827	1826	1329	1727	294.8	311.31
kdpC	Rv1031	potassium-transporting ATPase subunit C	human_sputum:14%; acidic_tyloxopol:10%; hypoxia_late:10%	-0.1151	0.990514822353719	1695.14	1826	1790	1757	1328	1803	70.33	75.16
sapM	Rv3310	acid phosphatase	tyloxopol:10%	-0.1196	0.996020585288763	1677.82	1752	1769	1888	1272	1745	74.29	79.4
purC	Rv0780	phosphoribosylaminoimidazole-succinocarboxamide synthase	hypoxia_late:10%	-0.109	0.988989988677279	1694.03	1815	1821	1736	1338	1787	85.27	90.81
narI	Rv1164	nitrate reductase subunit gamma	acidic_tyloxopol:13%; microaerophilic:10%	-0.1093	0.988284803039145	1695.02	1824	1837	1726	1335	1781	126.02	134.4
Rv1507c	Rv1507c	hypothetical protein	hypoxia_late:10%	-0.1282	0.996697114444298	1676.97	1750	1735	1880	1254	1806	45.99	49.61
Rv3073c	Rv3073c	hypothetical protein	hypoxia_late:13%; ctl_stationary:12%	-0.1341	0.994179139795788	1693.34	1870	1737	1697	1306	1892	43.1	47.07
pepD	Rv0983	serine protease PepD	microaerophilic:20%; hypoxia_fatty_acids:12%	-0.1077	0.986847414228198	1693.12	1792	1840	1762	1333	1766	369.4	391.65
rpsI	Rv3442c	30S ribosomal protein S9	hypoxia_rar:10%	-0.1061	0.986648356477218	1690.95	1782	1822	1817	1320	1743	661.81	699.35
Rv3213c	Rv3213c	SOJ/ParA-like protein	ctl_exponential:12%	-0.1072	0.986409371870451	1691.35	1793	1836	1775	1326	1755	410.18	434.62
Rv2255c	Rv2255c	hypothetical protein	ctl_stationary:14%	-0.1317	0.992746762264236	1687.75	1829	1742	1706	1317	1876	110.18	119.81
lipD	Rv1923	lipase LipD	human_sputum:9%	-0.1194	0.996279858186734	1655.32	1723	1771	1904	1259	1658	144.71	153.79
Rv3737	Rv3737	transmembrane protein	PBS_RIF_DDmtb:31%	-0.1088	0.989827715299315	1677.23	1765	1801	1861	1302	1689	97.01	102.64
fadB2	Rv0468	3-hydroxybutyryl-CoA dehydrogenase	nutrient_limitation:29%	-0.1088	0.986458538717499	1687.03	1777	1834	1763	1318	1772	950.9	1008.07
Rv2993c	Rv2993c	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase	tyloxopol:13%; INDIGO_exponential:10%	-0.1101	0.987047258601418	1683.97	1789	1811	1828	1319	1702	167.29	177.44
ctpA	Rv0092	cation transporter ATPase A	hypoxia_late:15%	-0.1088	0.987256202224421	1681.15	1776	1808	1844	1305	1704	67.67	71.73
fas	Rv2524c	fatty acid synthase	microaerophilic:16%; acidic:14%	-0.1108	0.986832870997354	1684.6	1769	1832	1744	1316	1791	234.28	248.85
Rv0530	Rv0530	hypothetical protein	zinc_limitation:12%	-0.1108	0.988641883141277	1678.63	1754	1803	1855	1293	1721	335.2	354.86
furA	Rv1909c	ferric uptake regulation protein FurA	zinc_limitation:14%; human_sputum:13%; hypoxia_fatty_acids:11%	-0.1158	0.987501992996402	1684.49	1800	1795	1771	1322	1762	160.49	171.37
MT0066.2	MT0066.2	hypothetical protein	human_sputum:16%; hypoxia_hypoxic:13%	-0.1161	0.9877988945633	1683.49	1770	1778	1812	1303	1785	252.43	269.46
Rv1006	Rv1006	hypothetical protein	INDIGO_exponential:10%	-0.1099	0.985763317941455	1679.8	1761	1814	1807	1299	1749	343.95	364.33
Rv0226c	Rv0226c	transmembrane protein	hypoxia_late:23%	-0.1161	0.986990351483993	1678.35	1819	1844	1665	1342	1748	83.78	90.01
pyrC	Rv1381	dihydroorotase	hypoxia_late:20%; zinc_limitation:12%	-0.1148	0.986260312781767	1676.41	1806	1816	1764	1311	1714	97.87	104.55
MTS0194	MTS0194	small intergenic RNA	low_iron:21%	-0.1189	0.986905235964308	1675.46	1788	1780	1802	1296	1742	221.68	236.96
Rv0992c	Rv0992c	hypothetical protein	hypoxia_late:23%	-0.1173	0.986345060324487	1670.08	1805	1805	1710	1314	1744	146.14	156.42
Rv1584c	Rv1584c	phage protein	ctl_stationary:10%; nutrient_limitation:10%	-0.1973	0.999999998142377	1597.43	1772	1186	1224	1689	2230	0.28	0.86
Rv2402	Rv2402	trehalase	hypoxia_late:9%	-0.1137	0.984842496005452	1668.02	1773	1818	1748	1309	1720	132.72	141.43
thrB	Rv1296	homoserine kinase	hypoxia_late:8%	-0.112	0.984308839301139	1667.01	1767	1809	1791	1304	1693	157.65	167.49
Rv1233c	Rv1233c	hypothetical protein	tyloxopol:16%; human_sputum:13%	-0.1144	0.984303299624022	1665.14	1779	1810	1774	1300	1692	291.55	310.5
glpK	Rv3696c	glycerol kinase	hypoxia_late:10%	-0.1181	0.985457778263973	1668.86	1778	1798	1784	1291	1724	64.05	68.58
PE_PGRS51	Rv3367	PE-PGRS family protein PE_PGRS51	microaerophilic:27%; hypoxia_late:16%	-0.113	0.984180106970616	1664.63	1751	1800	1813	1284	1707	194.15	206.03
vapC20	Rv2549c	ribonuclease VapC20	PBS_RIF_DDmtb:15%	-0.136	0.990633692194076	1659.87	1801	1728	1639	1294	1870	59.24	64.7
Rv3395A	Rv3395A	membrane protein	hypoxia_late:13%	-0.159	0.995041758784837	1669.28	1842	1685	1610	1287	1964	18.03	20.4
Rv1526c	Rv1526c	glycosyltransferase	hypoxia_late:21%; human_sputum:13%	-0.1408	0.998867528533698	1627.28	1688	1689	1969	1208	1631	41.31	44.5
pckA	Rv0211	phosphoenolpyruvate carboxykinase	zinc_limitation:10%	-0.1161	0.984644085758057	1664.56	1749	1807	1738	1290	1769	845.92	900.9
vapB15	Rv2009	antitoxin VapB15	INDIGO_exponential:16%; tyloxopol:13%	-0.1387	0.991035826193093	1657.62	1817	1738	1620	1288	1859	112.4	123.14
Rv2160A	Rv2160A	conserved hypothetical protein	microaerophilic:33%; cholesterol:11%; acidic:11%	-0.1364	0.988982377385876	1661.24	1795	1734	1737	1273	1800	48.59	52.89
Rv0531	Rv0531	membrane protein	hypoxia_late:18%	-0.1214	0.985427723748511	1659.31	1774	1776	1765	1289	1722	248.89	266.48
Rv3103c	Rv3103c	hypothetical protein	hypoxia_late:14%	-0.1293	0.98590922276059	1655.22	1783	1779	1691	1298	1753	141.12	152.75
lipG	Rv0646c	lipase/esterase LipG	tyloxopol:10%	-0.1192	0.98370212891979	1655.19	1764	1802	1760	1292	1687	164.6	176.2
galE2	Rv0501	UDP-glucose 4-epimerase GalE	human_sputum:9%	-0.1207	0.984123952248436	1655.02	1762	1815	1685	1307	1733	296.83	318.59
ubiA	Rv3806c	decaprenyl-phosphate phosphoribosyltransferase	high_iron:11%	-0.119	0.983431388731724	1654.76	1747	1785	1810	1281	1682	168.65	179.98
lppP	Rv2330c	lipoprotein LppP	hypoxia_late:19%	-0.1513	0.99283779846636	1646.88	1745	1659	1852	1226	1794	38.26	42
rpsP	Rv2909c	30S ribosomal protein S16	hypoxia_rar:11%; hypoxia_hypoxic:11%	-0.1171	0.982633962334587	1652.93	1743	1787	1805	1278	1683	475.37	505.8
pks13	Rv3800c	polyketide synthase	microaerophilic:13%	-0.1226	0.983002311253319	1655.26	1722	1783	1769	1267	1768	552.63	590.43
PE_PGRS35	Rv1983	PE-PGRS family protein PE_PGRS35	hypoxia_late:15%	-0.1199	0.98339314877757	1652.09	1759	1791	1770	1286	1684	84.97	90.95
Rv1204c	Rv1204c	hypothetical protein	hypoxia_late:26%	-0.1221	0.984204021596463	1650.45	1785	1812	1673	1301	1709	74.39	80.13
Rv0954	Rv0954	transmembrane protein	zinc_limitation:13%	-0.1201	0.982162570861224	1653.57	1726	1782	1796	1270	1726	934.55	995.76
fixB	Rv3028c	electron transfer flavoprotein subunit alpha	high_iron:10%	-0.1216	0.982295067058025	1653.75	1727	1781	1792	1269	1732	986.12	1052.49
nlhH	Rv1399c	carboxylesterase NlhH	hypoxia_late:19%	-0.1312	0.985713448186947	1648.16	1780	1766	1695	1271	1760	56.48	61.22
mpt53	Rv2878c	soluble secreted antigen Mpt53	PBS_RIF_DDmtb:34%; nutrient_limitation:14%	-0.1262	0.984992880340903	1645.87	1784	1793	1632	1308	1739	160.81	173.64
pstS3	Rv0928	phosphate ABC transporter substrate-binding lipoprotein PstS	hypoxia_late:12%; human_sputum:11%	-0.1203	0.982443388204923	1647.84	1748	1792	1761	1280	1688	188.5	201.61
vapC8	Rv0665	ribonuclease VapC8	hypoxia_late:15%; ctl_stationary:10%	-0.1591	0.991575041925515	1649.45	1798	1643	1797	1202	1855	44.69	49.64
AS1726	AS1726	putative small regulatory RNA	hypoxia_late:43%; ctl_stationary:12%	-0.1923	0.999357655033234	1646.58	1844	1507	1521	1285	2142	19.54	22.97
vapB27	Rv0599c	antitoxin VapB27	tyloxopol:10%	-0.1429	0.986379513890157	1637.74	1768	1714	1711	1255	1773	156.1	170.35
Rv2791c	Rv2791c	transposase	zinc_limitation:30%; cholesterol:12%	-0.1256	0.981805985750679	1637.08	1736	1789	1702	1277	1710	387.66	416.44
Rv2565	Rv2565	NTE family protein	ctl_stationary:8%	-0.1285	0.983055168578109	1633.92	1756	1777	1692	1276	1697	48.22	52.08
hflX	Rv2725c	GTP-binding protein HflX	zinc_limitation:9%	-0.1279	0.981624973572718	1640.22	1713	1764	1833	1251	1675	207.3	222.12
